Protein,Gene,Transcript,SignalP,TargetP,TMHMM,PredGPI,WoLF.PSORT,SecretomeP,Uniprot
ENSP00000262428,ENSG00000103187,ENST00000262428,0.105,0.08,PredHel=0,0.797511,"cyto 24.5, cyto_nucl 15.8333, cyto_plas 13.16",0.924,Q14019
ENSP00000262498,ENSG00000070761,ENST00000262498,0.229,0.09,PredHel=0,0.902743,"mito 15, cyto 12, nucl 3",0.915,Q9Y6A4
ENSP00000262637,ENSG00000105261,ENST00000262637,0.126,0.151,PredHel=0,0.808687,"nucl 29.5, cyto_nucl 18.5",0.954,NA
ENSP00000262651,ENSG00000101336,ENST00000262651,0.113,0.046,PredHel=0,0.654126,"extr 21, nucl 7, cyto 4",0.912,H7BXG4
ENSP00000262947,ENSG00000074842,ENST00000262947,0.88,0.923,PredHel=0,0.246263,"extr 28, mito 2",0.924,Q969H8
ENSP00000263268,ENSG00000118242,ENST00000263268,0.219,0.111,PredHel=0,0.0854779,"extr 21, cyto 6, mito 2",0.933,Q8N565
ENSP00000263598,ENSG00000160349,ENST00000263598,0.812,0.951,PredHel=0,0.804216,extr 31,0.958,P31025
ENSP00000263851,ENSG00000104432,ENST00000263851,0.739,0.947,PredHel=0,0.777005,extr 29,0.935,P13232
ENSP00000263863,ENSG00000115523,ENST00000263863,0.847,0.911,PredHel=0,0.889661,extr 29,0.952,P22749
ENSP00000263974,ENSG00000120656,ENST00000263974,0.133,0.081,PredHel=0,0.882249,"cyto 14, nucl 9, mito_nucl 7.5, mito 4, plas ",0.927,Q16514
ENSP00000264031,ENSG00000110375,ENST00000264031,0.919,0.974,PredHel=1,2.03E-05,"extr 15, E.R. 8, plas 6",0.914,O00526
ENSP00000264376,ENSG00000118231,ENST00000264376,0.099,0.077,PredHel=0,0.797557,"cyto_nucl 11.5, extr 11, nucl 11, cyto 8",0.926,P07320
ENSP00000264497,ENSG00000138684,ENST00000264497,0.701,0.887,PredHel=0,0.872264,extr 30,0.902,Q9HBE4
ENSP00000264553,ENSG00000197540,ENST00000264553,0.768,0.972,PredHel=1,0.778645,"extr 25, cyto 2, lyso 2",0.95,P51124
ENSP00000264730,ENSG00000114279,ENST00000264730,0.113,0.106,PredHel=0,0.571956,"cyto 19, cyto_nucl 12.5, mito 6, nucl 4",0.95,NA
ENSP00000264933,ENSG00000249915,ENST00000264933,0.13,0.062,PredHel=0,0.955116,"cyto_nucl 14, cyto 12.5, extr 8, nucl 6.5, cy",0.951,O75340
ENSP00000265339,ENSG00000119048,ENST00000265339,0.107,0.048,PredHel=0,0.6621,"nucl 19.5, cyto_nucl 12, mito 7, cyto 3.5, E.",0.923,P63146
ENSP00000265441,ENSG00000105989,ENST00000265441,0.867,0.954,PredHel=0,0.189919,"extr 25, lyso 3, cyto_pero 3",0.906,P09544
ENSP00000265471,ENSG00000149541,ENST00000265471,0.374,0.965,PredHel=1,0.56295,"extr 10, plas 9, E.R. 6, pero 4, E.R._golg 4",0.901,O94766
ENSP00000265601,ENSG00000112290,ENST00000265601,0.114,0.045,PredHel=0,0.969102,"cyto 9.5, cyto_nucl 8.5, extr 7, mito 7, nucl",0.931,Q5SZK4
ENSP00000265729,ENSG00000075142,ENST00000265729,0.101,0.093,PredHel=0,0.553232,"extr 19, cyto 12.5, cyto_nucl 7",0.965,P30626
ENSP00000265745,ENSG00000006715,ENST00000265745,0.108,0.056,PredHel=0,0.452209,"cyto 25, extr 6",0.932,H7BXH3
ENSP00000265770,ENSG00000015592,ENST00000265770,0.241,0.321,PredHel=0,0.731023,"extr 19, cyto 5.5, lyso 4, cyto_nucl 3.5",0.932,Q9H169
ENSP00000266003,ENSG00000096395,ENST00000266003,0.787,0.938,PredHel=1,0.688137,"extr 25, E.R. 4",0.941,P12872
ENSP00000266252,ENSG00000138942,ENST00000266252,0.102,0.054,PredHel=2,0.717981,nucl 32,0.902,Q96GF1
ENSP00000266263,ENSG00000242114,ENST00000266263,0.121,0.078,PredHel=0,0.96237,"cyto_nucl 20.5, nucl 17, cyto 14",0.926,Q9UDX5
ENSP00000266560,ENSG00000139194,ENST00000266560,0.105,0.098,PredHel=0,0.89469,"cyto 18.5, cyto_nucl 10.5, extr 5, mito 5",0.93,P82980
ENSP00000266646,ENSG00000139269,ENST00000266646,0.921,0.948,PredHel=0,0.613751,"extr 25, lyso 3, nucl 1, cyto 1, E.R. 1, cyto",0.915,P58166
ENSP00000267017,ENSG00000139574,ENST00000267017,0.891,0.946,PredHel=0,0.802004,extr 31,0.97,O15130
ENSP00000267569,ENSG00000140044,ENST00000267569,0.132,0.189,PredHel=0,0.91388,"nucl 31.5, cyto_nucl 16.5",0.933,Q8WYK2
ENSP00000268349,ENSG00000140718,ENST00000268349,0.146,0.054,PredHel=0,0.904611,"extr 18, nucl 13, cyto_nucl 8",0.917,X6R3I0
ENSP00000268655,ENSG00000103343,ENST00000268655,0.101,0.07,PredHel=0,0.533644,"nucl 28.5, cyto_nucl 16.5",0.9,Q15697
ENSP00000268841,ENSG00000108641,ENST00000268841,0.459,0.676,PredHel=0,0.985068,"extr 22, nucl 4.5, mito 3, cyto_nucl 3",0.97,Q9UPM9
ENSP00000268864,ENSG00000141150,ENST00000268864,0.125,0.043,PredHel=0,0.567841,"mito 21, cyto 5.5, cyto_nucl 4, extr 3",0.961,NA
ENSP00000269299,ENSG00000141505,ENST00000269299,0.14,0.117,PredHel=1,0.580712,"plas 8.5, extr_plas 7.5, cyto 6.5, cyto_mito ",0.907,P07306
ENSP00000269305,ENSG00000141510,ENST00000269305,0.108,0.059,PredHel=0,0.567712,"nucl 31.5, cyto_nucl 16.5",0.904,P04637
ENSP00000269593,ENSG00000141753,ENST00000269593,0.828,0.955,PredHel=0,0.798704,extr 31,0.903,P22692
ENSP00000269601,ENSG00000141759,ENST00000269601,0.107,0.178,PredHel=0,0.604766,"cyto 21.5, cyto_nucl 16, nucl 7.5",0.903,P83876
ENSP00000270361,ENSG00000142330,ENST00000270361,0.155,0.076,PredHel=0,0.474669,"extr 9, cyto 9, cyto_nucl 8.5, mito 7, nucl 6",0.906,Q9HC96
ENSP00000270451,ENSG00000171425,ENST00000270451,0.12,0.126,PredHel=0,0.516919,nucl 32,0.904,Q9P0T4
ENSP00000270631,ENSG00000142538,ENST00000270631,0.918,0.966,PredHel=1,0.983868,"extr 23, E.R. 4, golg 4, E.R._golg 4",0.918,Q96A98
ENSP00000270632,ENSG00000269404,ENST00000270632,0.119,0.13,PredHel=0,0.933483,"nucl 14.5, cyto_nucl 14, extr 9, cyto 8.5",0.916,Q01892
ENSP00000271331,ENSG00000143125,ENST00000271331,0.846,0.973,PredHel=0,0.035017,extr 32,0.932,P58294
ENSP00000272065,ENSG00000143727,ENST00000272065,0.26,0.176,PredHel=0,0.606655,"extr 20, cyto 8, nucl 2, lyso 2",0.924,P24666
ENSP00000272067,ENSG00000143727,ENST00000272067,0.256,0.179,PredHel=0,0.583154,"extr 20, cyto 8, nucl 2, lyso 2",0.903,P24666
ENSP00000272217,ENSG00000143862,ENST00000272217,0.241,0.667,PredHel=0,0.280691,"cyto 20, cyto_nucl 13.3333, cyto_plas 10.8333",0.941,Q96BM9
ENSP00000272298,ENSG00000143933,ENST00000272298,0.101,0.079,PredHel=0,0.194082,"cyto_nucl 16.1667, cyto 15.5, cyto_plas 9.833",0.918,P62158
ENSP00000272317,ENSG00000143947,ENST00000272317,0.118,0.102,PredHel=0,0.564807,"extr 17, nucl 5, cyto 5, cyto_nucl 5",0.905,P62979
ENSP00000272425,ENSG00000144035,ENST00000272425,0.133,0.259,PredHel=1,0.994656,"plas 22, mito 7, E.R._mito 5",0.954,Q9UHE5
ENSP00000272559,ENSG00000144152,ENST00000272559,0.147,0.035,PredHel=0,0.81699,"mito 13, extr 7, cyto 6.5, E.R._mito 6.5",0.919,Q8IY13
ENSP00000272645,ENSG00000144231,ENST00000272645,0.103,0.107,PredHel=0,0.680345,"cyto 26, cyto_nucl 16, nucl 4",0.938,O15514
ENSP00000273047,ENSG00000144566,ENST00000273047,0.181,0.077,PredHel=0,0.81419,"mito 27, cyto 4",0.918,P20339
ENSP00000273179,ENSG00000144677,ENST00000273179,0.106,0.053,PredHel=0,0.72379,"cyto 20.5, cyto_nucl 15, nucl 4.5, extr 3",0.911,O15194
ENSP00000273308,ENSG00000257727,ENST00000273308,0.939,0.942,PredHel=0,0.689537,extr 29,0.9,Q9Y2B0
ENSP00000274063,ENSG00000145423,ENST00000274063,0.806,0.935,PredHel=0,0.159005,extr 29,0.921,Q96HF1
ENSP00000274071,ENSG00000145431,ENST00000274071,0.611,0.507,PredHel=0,0.598978,extr 32,0.922,J3KN71
ENSP00000274137,ENSG00000145494,ENST00000274137,0.252,0.04,PredHel=0,0.75643,"extr 10, cyto 10, mito 8, nucl 3",0.909,O75380
ENSP00000274520,ENSG00000145839,ENST00000274520,0.849,0.975,PredHel=0,0.119935,extr 30,0.957,P15248
ENSP00000274766,ENSG00000146049,ENST00000274766,0.109,0.061,PredHel=0,0.864045,"cyto 18, nucl 7, extr 5",0.921,Q9UBP8
ENSP00000275532,ENSG00000243335,ENST00000275532,0.1,0.058,PredHel=0,0.655015,"cyto 15, cyto_nucl 15, nucl 11, extr 4",0.942,Q96MP8
ENSP00000276105,ENSG00000147164,ENST00000276105,0.099,0.043,PredHel=0,0.509743,"cyto 19.5, cyto_nucl 17.6667, cyto_plas 12, n",0.927,Q9UMY4
ENSP00000277010,ENSG00000147955,ENST00000277010,0.403,0.988,PredHel=1,0.975337,"extr 21, golg 5, lyso 3",0.952,Q99720
ENSP00000277415,ENSG00000130558,ENST00000277415,0.731,0.939,PredHel=0,0.812544,"extr 28, pero 3",0.925,Q99784
ENSP00000277459,ENSG00000148331,ENST00000277459,0.168,0.243,PredHel=0,0.844013,"cyto_nucl 11.5, extr 10, nucl 10, cyto 7, mit",0.92,Q9NWX5
ENSP00000277480,ENSG00000148346,ENST00000277480,0.873,0.958,PredHel=0,0.43452,"extr 14, mito 5, cyto 4, mito_nucl 4, nucl 3,",0.938,P80188
ENSP00000277550,ENSG00000148408,ENST00000277550,0.106,0.188,PredHel=0,0.798035,"cyto 17, nucl 11, extr 4",0.904,NA
ENSP00000278025,ENSG00000148803,ENST00000278025,0.297,0.877,PredHel=0,0.761219,"extr 11, mito 10, cyto 8.5, cyto_nucl 7",0.93,A2VDF0
ENSP00000278222,ENSG00000148965,ENST00000278222,0.709,0.886,PredHel=0,0.533002,extr 29,0.901,P35542
ENSP00000278282,ENSG00000149021,ENST00000278282,0.865,0.967,PredHel=0,0.306859,extr 30,0.945,P11684
ENSP00000278422,ENSG00000213593,ENST00000278422,0.326,0.876,PredHel=2,0.516841,"extr 8, nucl 7, mito 6.5, plas 4, cyto_mito 4",0.94,Q9Y320
ENSP00000278544,ENSG00000078124,ENST00000278544,0.118,0.156,PredHel=0,0.976402,"cyto_nucl 19, nucl 18, cyto 10",0.958,J3KN85
ENSP00000278855,ENSG00000149507,ENST00000278855,0.829,0.991,PredHel=0,0.413578,"extr 22, plas 6, E.R. 2, lyso 2",0.952,Q86WS3
ENSP00000278893,ENSG00000168000,ENST00000278893,0.205,0.78,PredHel=1,0.365671,"cyto 10, plas 8.5, extr_plas 5.5, pero 4.5, n",0.904,Q96G97
ENSP00000279147,ENSG00000149716,ENST00000279147,0.105,0.129,PredHel=0,0.99462,"cyto 16.5, extr 13, cyto_nucl 9",0.919,Q8WV07
ENSP00000279168,ENSG00000149735,ENST00000279168,0.859,0.972,PredHel=0,0.809514,extr 30,0.935,Q96T91
ENSP00000279544,ENSG00000150045,ENST00000279544,0.098,0.12,PredHel=1,0.757932,"cyto 16, plas 5.5, extr_plas 4.5, nucl 4, ext",0.911,NA
ENSP00000280115,ENSG00000150556,ENST00000280115,0.211,0.197,PredHel=1,1.22E-07,"plas 16, extr 14",0.972,H7BXI7
ENSP00000280330,ENSG00000150756,ENST00000280330,0.116,0.087,PredHel=0,0.825265,"extr 27, nucl 2, mito 2, mito_nucl 2",0.908,J3KN90
ENSP00000281146,ENSG00000151470,ENST00000281146,0.109,0.044,PredHel=0,0.915503,"cyto 26.5, cyto_nucl 15, extr 3",0.935,Q8N1A6
ENSP00000281437,ENSG00000043039,ENST00000281437,0.115,0.084,PredHel=0,0.682536,nucl 32,0.907,Q9UMQ3
ENSP00000282028,ENSG00000152214,ENST00000282028,0.105,0.04,PredHel=0,0.679107,"cyto 20, extr 8, mito 2, pero 2, mito_pero 2",0.936,NA
ENSP00000282141,ENSG00000163254,ENST00000282141,0.101,0.055,PredHel=0,0.855486,"extr 15, cyto 10, cyto_nucl 8.5, nucl 5",0.903,P07315
ENSP00000282278,ENSG00000152430,ENST00000282278,0.115,0.166,PredHel=0,0.883126,"cyto 14.5, cyto_nucl 14.5, nucl 13.5",0.957,Q8N9W6
ENSP00000282282,ENSG00000152433,ENST00000282282,0.17,0.121,PredHel=0,0.718197,nucl 32,0.93,Q8IVP9
ENSP00000282701,ENSG00000152785,ENST00000282701,0.891,0.803,PredHel=0,0.194531,"extr 24, pero 3, E.R. 2.5, lyso 2, E.R._golg ",0.922,P12645
ENSP00000282892,ENSG00000152944,ENST00000282892,0.111,0.065,PredHel=0,0.960177,"cyto 10, cyto_nucl 9.5, cysk 9, extr 6, nucl ",0.919,Q13503
ENSP00000283006,ENSG00000153044,ENST00000283006,0.109,0.047,PredHel=0,0.723317,"cyto 18.5, cyto_nucl 18.5, nucl 11.5",0.922,Q9H3R5
ENSP00000284006,ENSG00000153885,ENST00000284006,0.109,0.018,PredHel=0,0.862199,"nucl 22, cyto_nucl 16, cyto 8",0.928,Q96SI1
ENSP00000284486,ENSG00000154319,ENST00000284486,0.105,0.051,PredHel=0,0.968531,"cyto 14, cyto_nucl 13, nucl 8, extr 6",0.943,Q96KS9
ENSP00000284602,ENSG00000154415,ENST00000284602,0.103,0.081,PredHel=0,0.619682,"nucl 15.5, cyto_nucl 13.5, cyto 8.5, extr 8",0.927,Q16821
ENSP00000284674,ENSG00000154478,ENST00000284674,0.306,0.975,PredHel=6,0.940605,plas 30,0.964,Q8NDV2
ENSP00000284818,ENSG00000154589,ENST00000284818,0.666,0.886,PredHel=0,0.870469,extr 30,0.913,Q9Y6Y9
ENSP00000284971,ENSG00000154723,ENST00000284971,0.232,0.027,PredHel=0,0.903498,mito 31,0.919,P18859
ENSP00000285124,ENSG00000154845,ENST00000285124,0.099,0.092,PredHel=0,0.490094,"extr 22, cyto_nucl 6, nucl 5.5, cyto 3.5",0.966,F8WAJ9
ENSP00000285311,ENSG00000155011,ENST00000285311,0.735,0.879,PredHel=0,0.0827863,extr 32,0.919,Q9UBU2
ENSP00000285697,ENSG00000155330,ENST00000285697,0.102,0.043,PredHel=0,0.926348,"nucl 16, extr 5, mito 5, cyto 3, extr_plas 3",0.908,Q6PH81
ENSP00000285735,ENSG00000155366,ENST00000285735,0.191,0.169,PredHel=0,0.149092,"cyto 16, cyto_nucl 12, mito 8, extr 4, nucl 4",0.916,P08134
ENSP00000285908,ENSG00000145919,ENST00000285908,0.101,0.074,PredHel=0,0.165323,"cyto 19, cyto_nucl 14.5, extr 6, nucl 6",0.924,Q96IK1
ENSP00000287139,ENSG00000156574,ENST00000287139,0.76,0.899,PredHel=0,0.938314,"extr 17, mito 5, nucl 4.5, cyto_nucl 3.5, cyt",0.921,Q96S42
ENSP00000287218,ENSG00000156639,ENST00000287218,0.139,0.042,PredHel=0,0.378494,"extr 13, nucl 11, cyto_nucl 9, cyto 5",0.903,Q9H8U3
ENSP00000287387,ENSG00000156795,ENST00000287387,0.105,0.109,PredHel=0,0.90165,"cyto 15, cyto_nucl 11.5, extr 9, nucl 6",0.923,Q96HA8
ENSP00000287490,ENSG00000156885,ENST00000287490,0.252,0.233,PredHel=0,0.925146,"mito 17, extr 8, extr_plas 7.5, plas 5",0.906,Q02221
ENSP00000287748,ENSG00000157093,ENST00000287748,0.696,0.888,PredHel=0,0.850061,extr 32,0.938,Q96KX0
ENSP00000288022,ENSG00000258429,ENST00000288022,0.841,0.875,PredHel=0,0.0195794,"extr 15, cyto 8, mito 5, pero 3, mito_nucl 3",0.932,Q9HBH1
ENSP00000288304,ENSG00000157538,ENST00000288304,0.117,0.106,PredHel=0,0.953973,"cyto 22.5, cyto_nucl 15, nucl 4.5, mito 4",0.934,NA
ENSP00000289577,ENSG00000158604,ENST00000289577,0.791,0.802,PredHel=2,0.680946,"extr 11, E.R._mito 6.16667, mito_pero 6, pero",0.913,F8W7F7
ENSP00000289779,ENSG00000270149,ENST00000289779,0.178,0.331,PredHel=0,0.998425,"extr 19, nucl 12",0.909,A0A0A0MQY5
ENSP00000290075,ENSG00000147454,ENST00000290075,0.105,0.033,PredHel=0,0.939168,"cyto_nucl 15, nucl 13.5, cyto 11.5, extr 6",0.965,Q9NYZ2
ENSP00000290271,ENSG00000159167,ENST00000290271,0.75,0.855,PredHel=0,0.675765,extr 31,0.921,P52823
ENSP00000290295,ENSG00000159184,ENST00000290295,0.105,0.025,PredHel=0,0.746979,nucl 32,0.924,Q92826
ENSP00000290460,ENSG00000159307,ENST00000290460,0.714,0.511,PredHel=0,0.310301,"extr 20, cyto_mito 5, cyto 4, mito 4, pero 3",0.91,B1AH90
ENSP00000290497,ENSG00000168907,ENST00000290497,0.52,0.568,PredHel=0,0.411356,"extr 24, cyto 6.5, cyto_nucl 4",0.939,H7BXJ8
ENSP00000290855,ENSG00000069493,ENST00000290855,0.122,0.254,PredHel=1,0.714628,plas 32,0.94,Q9UHP7
ENSP00000291295,ENSG00000160014,ENST00000291295,0.101,0.079,PredHel=0,0.194082,"cyto_nucl 16.1667, cyto 15.5, cyto_plas 9.833",0.918,P62158
ENSP00000291526,ENSG00000160181,ENST00000291526,0.849,0.853,PredHel=0,0.151266,extr 32,0.941,Q03403
ENSP00000291634,ENSG00000160256,ENST00000291634,0.118,0.057,PredHel=0,0.985325,"nucl 27, mito 4",0.925,Q9NSI2
ENSP00000293274,ENSG00000161572,ENST00000293274,0.7,0.959,PredHel=0,0.522346,extr 29,0.957,NA
ENSP00000293275,ENSG00000161573,ENST00000293275,0.813,0.964,PredHel=0,0.962723,extr 32,0.93,NA
ENSP00000293371,ENSG00000161634,ENST00000293371,0.893,0.942,PredHel=0,0.790933,extr 32,0.955,P81605
ENSP00000294288,ENSG00000167791,ENST00000294288,0.157,0.073,PredHel=0,0.561876,"cyto_nucl 9.66667, nucl 9.5, mito 8, cyto 6.5",0.928,Q9NPB3
ENSP00000294435,ENSG00000162444,ENST00000294435,0.128,0.129,PredHel=0,0.566338,"cyto 20.5, cyto_nucl 12.5, extr 4, mito 4",0.909,Q96R05
ENSP00000294652,ENSG00000186086,ENST00000294652,0.102,0.047,PredHel=0,0.976246,"nucl 21.5, cyto_nucl 16.5, cyto 8.5",0.929,Q5VWK0
ENSP00000295012,ENSG00000162913,ENST00000295012,0.117,0.034,PredHel=0,0.957955,"mito 17, extr 9, cyto_pero 2.5, nucl 2, cyto ",0.9,Q96MR7
ENSP00000295150,ENSG00000186453,ENST00000295150,0.103,0.063,PredHel=0,0.906739,"cyto 28.5, cyto_nucl 17.5",0.914,Q86W67
ENSP00000295326,ENSG00000163170,ENST00000295326,0.286,0.07,PredHel=0,0.268376,"mito 15, cyto 7, extr 6, nucl 2, pero 2",0.951,Q53S33
ENSP00000295462,ENSG00000163291,ENST00000295462,0.113,0.286,PredHel=1,0.943445,"cyto 17, mito 8, nucl 5",0.9,NA
ENSP00000295619,ENSG00000163421,ENST00000295619,0.793,0.96,PredHel=0,0.069435,extr 32,0.929,Q9HC23
ENSP00000295729,ENSG00000181378,ENST00000295729,0.112,0.024,PredHel=0,0.93662,"mito 23, extr 3, cyto 2.5, cyto_nucl 2, golg ",0.95,Q6ZU64
ENSP00000295755,ENSG00000163515,ENST00000295755,0.768,0.974,PredHel=0,0.500253,extr 31,0.907,Q9BQ08
ENSP00000295881,ENSG00000151577,ENST00000295881,0.127,0.313,PredHel=7,0.771147,plas 32,0.945,E9PCM4
ENSP00000295899,ENSG00000163634,ENST00000295899,0.103,0.081,PredHel=0,0.572269,"cyto 25.5, cyto_nucl 15, nucl 3.5",0.908,Q6I9Y2
ENSP00000295934,ENSG00000163666,ENST00000295934,0.108,0.051,PredHel=0,0.876244,nucl 32,0.948,Q9UBX0
ENSP00000296029,ENSG00000163737,ENST00000296029,0.861,0.977,PredHel=1,0.811502,extr 32,0.931,P02776
ENSP00000296084,ENSG00000163785,ENST00000296084,0.687,0.427,PredHel=1,0.941982,"plas 23, nucl 2, lyso 2, cyto 1, mito 1, E.R.",0.914,P34925
ENSP00000296777,ENSG00000164326,ENST00000296777,0.872,0.949,PredHel=0,0.136028,extr 32,0.93,Q16568
ENSP00000296870,ENSG00000164399,ENST00000296870,0.826,0.905,PredHel=0,0.991047,"mito 17, extr 13",0.924,P08700
ENSP00000296877,ENSG00000164406,ENST00000296877,0.938,0.959,PredHel=0,0.887982,extr 32,0.916,Q969E1
ENSP00000296921,ENSG00000164438,ENST00000296921,0.11,0.072,PredHel=0,0.998126,nucl 32,0.936,O43711
ENSP00000297435,ENSG00000164821,ENST00000297435,0.923,0.962,PredHel=0,0.792974,extr 31,0.928,P12838
ENSP00000297436,ENSG00000164822,ENST00000297436,0.877,0.955,PredHel=0,0.760674,extr 32,0.963,Q01524
ENSP00000297439,ENSG00000164825,ENST00000297439,0.885,0.922,PredHel=0,0.12985,extr 31,0.927,P60022
ENSP00000297498,ENSG00000164871,ENST00000297498,0.866,0.926,PredHel=0,0.260387,extr 30,0.909,Q08648
ENSP00000297769,ENSG00000165078,ENST00000297769,0.138,0.023,PredHel=0,0.979195,"cyto 14.5, mito 8, cyto_nucl 8, extr 7",0.909,NA
ENSP00000298090,ENSG00000156504,ENST00000298090,0.1,0.059,PredHel=0,0.905286,"nucl 26.5, cyto_nucl 16.5, cyto 3.5",0.911,Q7Z309
ENSP00000298316,ENSG00000165527,ENST00000298316,0.198,0.144,PredHel=0,0.88064,"cyto 20, mito 9",0.917,P62330
ENSP00000298352,ENSG00000165553,ENST00000298352,0.137,0.128,PredHel=0,0.960227,"nucl 20, cyto_nucl 13.5, extr 6, cyto 5",0.962,Q9NPG2
ENSP00000298454,ENSG00000165633,ENST00000298454,0.622,0.602,PredHel=0,0.00154937,"extr 28, mito 2",0.948,Q8IW00
ENSP00000298571,ENSG00000165714,ENST00000298571,0.11,0.04,PredHel=0,0.716642,"cyto_nucl 15, cyto 14.5, nucl 12.5, extr 3",0.946,Q969J3
ENSP00000298690,ENSG00000165799,ENST00000298690,0.856,0.968,PredHel=1,0.837424,extr 32,0.935,Q9H1E1
ENSP00000299004,ENSG00000166025,ENST00000299004,0.117,0.096,PredHel=0,0.913002,"nucl 19, cyto_nucl 17, cyto 9",0.936,F8WDH4
ENSP00000299381,ENSG00000166295,ENST00000299381,0.116,0.027,PredHel=0,0.695115,"nucl 12, cyto_nucl 11.5, mito 9, cyto 7",0.939,Q96DE5
ENSP00000299872,ENSG00000166681,ENST00000299872,0.109,0.052,PredHel=0,0.453357,"extr 16, cyto 11, cyto_nucl 8.5, nucl 4",0.907,NA
ENSP00000300432,ENSG00000167103,ENST00000300432,0.101,0.06,PredHel=0,0.959571,"cyto_nucl 16.5, cyto 13, nucl 12, extr 6",0.946,Q5T9C9
ENSP00000300590,ENSG00000167208,ENST00000300590,0.129,0.117,PredHel=0,0.785502,"extr 16, nucl 8.5, cyto_nucl 7.5, cyto 5.5",0.929,Q7Z614
ENSP00000300880,ENSG00000105327,ENST00000300880,0.163,0.121,PredHel=0,0.785284,"extr 15, mito 8, cyto 5.5, cyto_nucl 5",0.926,Q96PG8
ENSP00000301021,ENSG00000167515,ENST00000301021,0.112,0.083,PredHel=0,0.658181,"cysk 16, cyto 7, extr 3, nucl 3, mito 3, mito",0.9,Q9UL33
ENSP00000301202,ENSG00000167618,ENST00000301202,0.804,0.948,PredHel=0,0.9838,extr 32,0.935,Q6ISS4
ENSP00000301331,ENSG00000167702,ENST00000301331,0.144,0.074,PredHel=0,0.667223,"cyto_nucl 12.5, extr 12, cyto 11.5, nucl 6.5",0.917,NA
ENSP00000301391,ENSG00000167740,ENST00000301391,0.315,0.795,PredHel=1,0.00409313,extr 31,0.933,Q8WUJ1
ENSP00000301421,ENSG00000174562,ENST00000301421,0.899,0.96,PredHel=0,0.932974,extr 30,0.975,NA
ENSP00000301490,ENSG00000167799,ENST00000301490,0.192,0.043,PredHel=0,0.94102,"cyto 10, extr 5, cyto_golg 5, plas 4, nucl 4,",0.901,Q8WV74
ENSP00000301781,ENSG00000168000,ENST00000301781,0.108,0.129,PredHel=1,0.63688,"plas 9.5, cyto 7, extr_plas 6, nucl 4, mito 4",0.939,H7BXM1
ENSP00000301790,ENSG00000168004,ENST00000301790,0.106,0.08,PredHel=0,0.887034,"mito 14, cyto 12, cyto_nucl 7.5, mito_pero 7.",0.927,Q96KN8
ENSP00000301896,ENSG00000168070,ENST00000301896,0.099,0.09,PredHel=0,0.995359,"nucl 19.5, cyto_nucl 14.5, cyto 8.5",0.91,Q3KP22
ENSP00000301908,ENSG00000168081,ENST00000301908,0.865,0.942,PredHel=0,0.656698,extr 32,0.921,Q13519
ENSP00000303394,ENSG00000169271,ENST00000302005,0.134,0.157,PredHel=0,0.952997,"cyto 19, cyto_nucl 12.5, mito 6, nucl 4",0.907,Q12988
ENSP00000302763,ENSG00000171695,ENST00000302096,0.111,0.123,PredHel=0,0.465371,"cyto_nucl 13, cyto 12, extr 8, nucl 8",0.905,Q8TD35
ENSP00000303920,ENSG00000170476,ENST00000302125,0.874,0.965,PredHel=0,0.750061,extr 30,0.949,Q8WU39
ENSP00000307640,ENSG00000172425,ENST00000302783,0.108,0.086,PredHel=0,0.553118,"cyto_nucl 12.5, nucl 11.5, cyto 10.5, extr 10",0.943,A6NLP5
ENSP00000305875,ENSG00000171984,ENST00000303142,0.108,0.05,PredHel=0,0.952708,"nucl 19.5, cyto_nucl 15, cyto 7.5, extr 5",0.94,Q8IYI0
ENSP00000302836,ENSG00000180806,ENST00000303450,0.102,0.071,PredHel=0,0.674002,nucl 32,0.918,P31274
ENSP00000303584,ENSG00000156239,ENST00000303775,0.113,0.208,PredHel=0,0.939648,"cyto 23.5, cyto_nucl 16.5, nucl 6.5",0.905,B2RA97
ENSP00000304791,ENSG00000169035,ENST00000304045,0.82,0.944,PredHel=0,0.904784,extr 32,0.946,Q6DTY1
ENSP00000307101,ENSG00000147889,ENST00000304494,0.129,0.142,PredHel=0,0.842442,"extr 13, cyto 12, cyto_nucl 10.5, nucl 5",0.922,P42771
ENSP00000302324,ENSG00000169397,ENST00000304639,0.848,0.909,PredHel=0,0.76878,extr 31,0.913,P12724
ENSP00000302046,ENSG00000169413,ENST00000304677,0.872,0.98,PredHel=1,0.212606,extr 31,0.963,Q93091
ENSP00000307096,ENSG00000258818,ENST00000304704,0.862,0.94,PredHel=1,0.658808,extr 32,0.924,NA
ENSP00000307132,ENSG00000170367,ENST00000304710,0.816,0.948,PredHel=0,0.139846,extr 30,0.936,P28325
ENSP00000307540,ENSG00000170369,ENST00000304725,0.918,0.973,PredHel=0,0.294162,"extr 24, pero 3, lyso 2, cyto_pero 2",0.91,P09228
ENSP00000304006,ENSG00000168092,ENST00000304808,0.111,0.047,PredHel=0,0.697408,"cyto 16.5, cyto_nucl 14.5, extr 8, nucl 5.5",0.934,J3KNE3
ENSP00000302924,ENSG00000172458,ENST00000304920,0.682,0.737,PredHel=0,0.822119,"extr 22, mito 4, cyto 3, pero 3, cyto_pero 3",0.916,Q8TAD2
ENSP00000339095,ENSG00000171863,ENST00000304921,0.103,0.138,PredHel=0,0.858842,"cyto 27, nucl 5",0.943,P62081
